author,length,likes,source,tags,title
    Friedrich Nietzsche  ,51,66234,inspirational,"inspirational,music,philosophy","      “Without music, life would be a mistake.”  "
    John Green  ,61,20812,life,"infinity,john-green,life,tfios,the-fault-in-our-stars",      “Some infinities are bigger than other infinities.”  
    Bill Watterson  ,46,19870,life,"calvin-and-hobbes,humor,life",      “Reality continues to ruin my life.”  
    Bob Marley  ,45,19809,life,"judge,life,live,perfection",      “Who are you to judge the life I live?
    Stephen Chbosky  ,76,19666,life,"change,life",      “Things change. And friends leave. Life doesn't stop for anybody.”  
    John Green  ,73,19190,life,"compassion,life,suffering",      “The only way out of the labyrinth of suffering is to forgive.”  
    J.K. Rowling  ,128,18835,life,"dumbledore,life,love,snape","      “Dumbledore watched her fly away, and as her silvery glow faded he turned back to Snape, and his eyes were full of tears."
    Bessie Anderson Stanley  ,82,18710,life,"life,misattributed-to-emerson,success,widely-misattributed","      “He has achieved success who has lived well, laughed often, and loved much;"
    Jess C. Scott  ,108,18599,life,"desire,emotion,friendship,honesty,imagination,individuality,life,love,passion,reality,relationships,romance,truth,wisdom,wise-words","      “When someone loves you, the way they talk about you is different. You feel safe and comfortable.”  "
    Ralph Waldo Emerson  ,278,17639,life,"life,regrets",      “Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”  
    Jimi Hendrix  ,113,16463,life,"death,life","      “I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”  "
    Stephen Chbosky  ,51,64644,inspirational,"inspirational,love",      “We accept the love we think we deserve.”  
    Marilyn Monroe  ,121,47787,inspirational,"attributed-no-source,be-yourself,inspirational","      “Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”  "
    Albert Einstein  ,141,46902,inspirational,"attributed-no-source,inspirational,life,live,miracle,miracles",      “There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”  
    Oscar Wilde  ,78,42406,inspirational,"inspirational,optimism,perception,pessimism","      “We are all in the gutter, but some of us are looking at the stars.”  "
    Neil Gaiman  ,141,41772,inspirational,"books,dragons,fairy-tales,inspirational,paraphrasing-g-k-chesterton","      “Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.”  "
    Bill Keane  ,117,40865,inspirational,"attributed-no-source,hope,inspirational,misattributed-eleanor-roosevelt,past,present,widely-misattributed","      “Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.”  "
    Thomas A. Edison  ,75,39808,inspirational,"edison,failure,inspirational,paraphrased","      “I have not failed. I've just found 10,000 ways that won't work.”  "
    Elie Wiesel  ,234,38902,inspirational,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy","      “The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”  "
    Albert Einstein  ,173,36229,inspirational,"1929,imagination,inspirational,viereck-interview",      “I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.”  
    Dr. Seuss  ,216,33064,inspirational,inspirational,      “You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...”  
    George Eliot  ,64,31458,inspirational,"inspirational,source-unknown",      “It is never too late to be what you might have been.”  
    Marilyn Monroe  ,1094,31016,inspirational,"attributed-no-source,friends,heartbreak,inspirational,life,love,sisters","      “This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”  "
    Maya Angelou  ,78,28756,inspirational,"1970,inspirational,stories,writing",      “There is no greater agony than bearing an untold story inside you.”  
    Albert Einstein  ,107,130074,humor,"attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe",      “Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”  
    Pablo Picasso  ,47,27914,inspirational,"art,imagination,inspirational,life",      “Everything you can imagine is real.”  
    C.S. Lewis  ,89,25964,inspirational,"books,inspirational,reading,tea",      “You can never get a cup of tea large enough or a book long enough to suit me.”  
    J.K. Rowling  ,78,24729,inspirational,"death,inspirational","      “To the well-organized mind, death is but the next great adventure.”  "
    George Bernard Shaw  ,79,24151,inspirational,"inspirational,life,yourself",      “Life isn't about finding yourself. Life is about creating yourself.”  
    Theodore Roosevelt  ,63,22771,inspirational,inspirational,"      “Do what you can, with what you have, where you are.”  "
    Shel Silverstein  ,218,21983,inspirational,"anything-can-be,hope,impossible,inspirational,musn-t,possibilities,shouldn-t,won-t","      “Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.”  "
    Helen Keller  ,163,21809,inspirational,inspirational,"      “When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”  "
    Winston S. Churchill  ,98,21460,inspirational,"bravery,courage,failure,inspirational,success","      “Success is not final, failure is not fatal: it is the courage to continue that counts.”  "
    Stephen Chbosky  ,138,21018,inspirational,"charlie,favourite-books,inspirational,sad,soul-searching,wallflower","      “So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.”  "
    Frank Zappa  ,42,125535,humor,"books,humor","      “So many books, so little time.”  "
    Mae West  ,71,106890,humor,"humor,life","      “You only live once, but if you do it right, once is enough.”  "
    Narcotics Anonymous  ,99,60741,humor,"humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein","      “Insanity is doing the same thing, over and over again, but expecting different results.”  "
    Jane Austen  ,114,47741,humor,"aliteracy,books,classic,humor","      “The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”  "
    Groucho Marx  ,97,36712,humor,"animals,books,dogs,friends,humor","      “Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.”  "
    Steve Martin  ,60,34578,humor,"humor,obvious,simile","      “A day without sunshine is like, you know, night.”  "
    Mark Twain  ,89,33561,humor,"humor,procrastination",      “Never put off till tomorrow what may be done day after tomorrow just as well.”  
    Douglas Adams  ,81,30885,humor,"deadlines,humor,humour,work,writing",      “I love deadlines. I love the whooshing noise they make as they go by.”  
    Garrison Keillor  ,133,28950,humor,"humor,religion",      “Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”  
    Robert A. Heinlein  ,106,27863,humor,"cats,humor,women","      “Women and cats will do as they please, and men and dogs should relax and get used to the idea.”  "
    John Lennon  ,127,18285,inspirational,"beatles,connection,dreamers,dreaming,dreams,hope,inspirational,peace","      “You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”  "
    Charles M. Schulz  ,83,26082,humor,"chocolate,food,humor",      “All you need is love. But a little chocolate now and then doesn't hurt.”  
    Jim Henson  ,144,25822,humor,humor,      “Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”  
    Woody Allen  ,83,24609,humor,"death,fear,humor,life",      “I'm not afraid of death; I just don't want to be there when it happens.”  
    Paul   Terry  ,80,23910,humor,"exercise,humor,laziness,misattributed-to-hutchins","      “Whenever I feel the need to exercise, I lie down until it goes away.”  "
    Groucho Marx   ,125,22196,humor,"books,humor,reading,television","      “I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.”  "
    John Green  ,512,22114,humor,"humor,nerdfighters","      “Saying 'I notice you're a nerd' is like saying, 'Hey, I notice that you'd rather be intelligent than be stupid, that you'd rather be thoughtful than be vapid, that you believe that there are things that matter more than the arrest record of Lindsay Lohan. Why is that?' In fact, it seems to me that most contemporary insults are pretty lame. Even 'lame' is kind of lame. Saying 'You're lame' is like saying 'You walk with a limp.' Yeah, whatever, so does 50 Cent, and he's done all right for himself.”  "
    Douglas Adams  ,25,21716,humor,"humor,scifi",      “The story so far:
    Charles Bukowski  ,81,20763,humor,humor,      “Some people never go crazy. What truly horrible lives they must lead.”  
    Terry Pratchett  ,135,20272,humor,"humor,open-mind,thinking","      “The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”  "
    Bill Watterson  ,46,19870,humor,"calvin-and-hobbes,humor,life",      “Reality continues to ruin my life.”  
    George Carlin  ,91,18813,humor,"humor,insanity,lies,lying,self-indulgence,truth",      “The reason I talk to myself is because I’m the only one whose answers I accept.”  
    Benjamin Franklin Wade   ,66,18764,humor,"humor,misattributed-mark-twain,philosophy,theology",      “Go to heaven for the climate and hell for the company.”  
    Charles M. Schulz  ,58,18285,humor,"humor,mankind,people",      “I love mankind ... it's people I can't stand!!”  
    W.C. Fields  ,65,18097,humor,"humor,sinister",      “I am free of all prejudice. I hate everyone equally. ”  
    Suzanne Collins  ,97,17617,humor,humor,"      “Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”  "
    Jane Austen  ,117,16697,humor,"humor,love,romantic,women","      “A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”  "
    Lewis Carroll  ,87,16268,humor,"alice,humor,inspirational,philosophy-of-life,psychological,yesterday","      “It’s no use going back to yesterday, because I was a different person then.”  "
    Charles J. Sykes  ,76,15628,humor,"humor,misattributed-to-bill-gates,nerd,nerds,work",      “Be nice to nerds. You may end up working for them. We all could.”  
    J.K. Rowling  ,84,15150,humor,"humor,rebellion,sarcasm","      “Do you remember me telling you we are practicing non-verbal spells, Potter?"
    Marilyn Monroe  ,214,148679,love,"attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst","      “I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”  "
    William W. Purkey  ,56,117504,love,"dance,heaven,hurt,inspirational,life,love,sing","      “You've gotta dance like there's nobody watching,"
    Dr. Seuss  ,114,114164,love,"attributed-no-source,dreams,love,reality,sleep",      “You know you're in love when you can't fall asleep because reality is finally better than your dreams.”  
    Elbert Hubbard  ,76,77994,love,"friend,friendship,knowledge,love",      “A friend is someone who knows all about you and still loves you.”  
    Martin Luther King Jr.  ,122,71559,love,"darkness,drive-out,hate,inspirational,light,love,peace",      “Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”  
    Stephen Chbosky  ,51,64644,love,"inspirational,love",      “We accept the love we think we deserve.”  
    Andre Gide  ,92,54904,love,"life,love",      “It is better to be hated for what you are than to be loved for what you are not.”  
    Bob Marley  ,2480,54493,love,love,"      “Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that you’ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you can’t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid it’s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didn’t exist at all. A phone call or two during the day helps to get you through a long day’s work and always brings a smile to your face. In their presence, there’s no need for continuous conversation, but you find you’re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that there’s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure that’s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life.”  "
    John Green  ,93,44895,love,love,"      “As he read, I fell in love the way you fall asleep: slowly, and then all at once.”  "
    Elie Wiesel  ,234,38902,love,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy","      “The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”  "
    Friedrich Nietzsche  ,92,38811,love,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage","      “It is not a lack of love, but a lack of friendship that makes unhappy marriages.”  "
    Pablo Neruda  ,329,36577,love,"love,poetry","      “I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”  "
    William Shakespeare  ,52,34744,love,"do-wrong,love,trust,wrong","      “Love all, trust a few, do wrong to none.”  "
    Neil Gaiman  ,195,34525,love,love,      “Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.”  
    Lao Tzu  ,108,31860,love,"courage,deeply-loved,love,strength,widely-misattributed","      “Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.”  "
    Marilyn Monroe  ,1094,31016,love,"attributed-no-source,friends,heartbreak,inspirational,life,love,sisters","      “This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”  "
    Sarah Dessen  ,138,30689,love,love,"      “There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.”  "
    Robert A. Heinlein  ,101,29216,love,"essential,happiness,love",      “Love is that condition in which the happiness of another person is essential to your own.”  
    Bob Marley  ,707,26975,love,love,"      “You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”  "
    Suzanne Collins  ,39,26629,love,"katniss,love,peeta,suzanne-collins,the-hunger-games",      “You love me. Real or not real?
    John Green  ,47,23811,love,"doomed,inevitable,love,oblivion,pleasure,simple","      “I'm in love with you,"" he said quietly."
    Nicholas Sparks  ,286,23660,love,love,"      “I am nothing special, of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten, but I've loved another with all my heart and soul, and to me, this has always been enough..”  "
    William Shakespeare  ,56,22856,love,love,"      “Love looks not with the eyes, but with the mind,"
    Nicholas Sparks  ,72,22057,love,"love,simile","      “Love is like the wind, you can't see it but you can feel it.”  "
    Elizabeth Gilbert  ,259,21472,love,love,"      “People think a soul mate is your perfect fit, and that's what everyone wants. But a true soul mate is a mirror, the person who shows you everything that is holding you back, the person who brings you to your own attention so you can change your life. "
    Jodi Picoult  ,112,21301,love,"imperfect,love","      “You don't love someone because they're perfect, you love them in spite of the fact that they're not.”  "
    Marilyn Monroe  ,72,21088,love,"attributed-no-source,girls,love","      “If you can make a woman laugh, you can make her do anything.”  "
    Robert Fulghum  ,224,20985,love,"love,weirdness","      “We’re all a little weird. And life is a little weird. And when we find someone whose weirdness is compatible with ours, we join up with them and fall into mutually satisfying weirdness—and call it love—true love.”  "
    Jane Austen  ,146,20738,love,"friendship,love","      “There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”  "
    Anais Nin  ,234,20695,love,"death,love","      “Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.”  "
    Cassandra Clare  ,31,13972,humor,"humor,jace-wayland,simon-lewis","      “Jesus!"" Luke exclaimed."
    Markus Herz  ,90,13702,humor,"books,health,humor,misattributed-mark-twain,misprints",      “Be careful about reading health books. Some fine day you'll die of a misprint.”  
    Terry Johnson  ,91,13447,humor,"humor,misattributed-to-marilyn-monroe,philosophy",      “Have you ever noticed how ‘What the hell’ is always the right decision to make?”  
    C.E.M. Joad  ,58,12789,humor,"creativity,humor,misattributed-to-einstein,paraphrased",      “Creativity is knowing how to hide your sources”  
    Lemony Snicket  ,151,12682,humor,"fate,humor,simile","      “Fate is like a strange, unpopular restaurant filled with odd little waiters who bring you things you never asked for and don't always like.”  "
    Rita Mae Brown  ,169,12526,humor,"humor,insanity","      “The statistics on sanity are that one out of every four people is suffering from a mental illness. Look at your 3 best friends. If they're ok, then it's you.”  "
    Cassandra Clare  ,176,12406,humor,"clary-fray,demons,growing-up,humor,jace-wayland,luke,teenager","      “I don't want to be a man,"" said Jace. ""I want to be an angst-ridden teenager who can't confront his own inner demons and takes it out verbally on other people instead."
    Terry Pratchett  ,114,11995,humor,"humor,proverb","      “Give a man a fire and he's warm for a day, but set fire to him and he's warm for the rest of his life.”  "
    Chuck Palahniuk  ,99,11281,humor,"god,humor,life","      “All God does is watch us and kill us when we get boring. We must never, ever be boring.”  "
    George V. Higgins  ,63,11008,humor,"humor,life,misattributed-john-wayne","      “This life’s hard, but it’s harder if you’re stupid.”  "
    Douglas Adams  ,88,10977,humor,"attributed-no-source,humor,misattributed-douglas-adams,wit",      “I refuse to answer that question on the grounds that I don't know the answer”  
    J.K. Rowling  ,141,10563,humor,"harry-potter,humor,james-potter,remus-lupin,sirius-black,snape,wormtail","      “Mr. Moony presents his compliments to Professor Snape, and begs him to keep his abnormally large nose out of other people's business."
    J.K. Rowling  ,73,10535,humor,"humor,shampoo",      “He can run faster than Severus Snape confronted with shampoo.”  
    J.K. Rowling  ,59,10454,humor,"biscuit,humor,rebellion",      “Is it true that you shouted at Professor Umbridge?
    Albert Einstein  ,58,10304,humor,"humor,science",      “Never memorize something that you can look up.”  
    Groucho Marx  ,154,9839,humor,"friends,humor,jail","      “When you're in jail, a good friend will be trying to bail you out. A best friend will be in the cell next to you saying, 'Damn, that was fun'.”  "
    Terry Pratchett  ,242,9745,humor,humor,"      “Some humans would do anything to see if it was possible to do it. If you put a large switch in some cave somewhere, with a sign on it saying 'End-of-the-World Switch. PLEASE DO NOT TOUCH', the paint wouldn't even have time to dry.”  "
    Oscar Levant  ,85,9672,humor,"genius,humor,insanity",      “There's a fine line between genius and insanity. I have erased this line.”  
    Albert Einstein  ,155,9655,humor,humor,      “When you are courting a nice girl an hour seems like a second. When you sit on a red-hot cinder a second seems like an hour. That's relativity.”  
    J.K. Rowling  ,68,9589,humor,"death,humor,sarcasm","      “Death's got an Invisibility Cloak?"" Harry interrupted again."
    Thomas Szasz  ,71,9557,humor,"humor,inspirational","      “Two wrongs don't make a right, but they make a good excuse.”  "
    Chris Rock  ,363,9368,humor,"comedy,everyday-life,funny,humor,observational-comedy","      “You know the world is going crazy when the best rapper is a white guy, the best golfer is a black guy, the tallest guy in the NBA is Chinese, the Swiss hold the America's Cup, France is accusing the U.S. of arrogance, Germany doesn't want to go to war, and the three most powerful men in America are named ""Bush"", ""Dick"", and ""Colin."" Need I say more?”  "
    Cassandra Clare  ,104,9285,humor,"humor,jace-wayland,sarcasm",      “It means 'Shadowhunters: Looking Better in Black Than the Widows of our Enemies Since 1234'.”  
    Mark Twain  ,146,9190,humor,"humor,writing",      “Substitute 'damn' every time you're inclined to write 'very;' your editor will delete it and the writing will be just as it should be.”  
    Billy Sunday  ,113,8966,humor,"automobile,car,funny,humor,religious",      “Going to church doesn’t make you a Christian any more than going to a garage makes you an automobile.”  
    E.B. White  ,263,8901,humor,"activism,humor,life,pleasure","      “If the world were merely seductive, that would be easy. If it were merely challenging, that would be no problem. But I arise in the morning torn between a desire to improve the world and a desire to enjoy the world. This makes it hard to plan the day.”  "
    Mark Twain  ,110,8771,humor,"humor,politics","      “Reader, suppose you were an idiot. And suppose you were a member of Congress. But I repeat myself.”  "
    Rick Riordan  ,79,8687,humor,humor,"      “Let us find the dam snack bar,"" Zoe said. ""We should eat while we can."
    Jane Austen  ,110,8541,humor,"friends,humor,people","      “I do not want people to be very agreeable, as it saves me the trouble of liking them a great deal.”  "
    Cassandra Clare  ,158,8374,humor,"bath,clary-fray,humor,jace-wayland,simon-lewis","      “Do you remember back at the hotel when you promised that if we lived, you’d get dressed up in a nurse’s outfit and give me a sponge bath?"" asked Jace."
    Paulo Coelho  ,98,17895,inspirational,inspirational,"      “And, when you want something, all the universe conspires in helping you to achieve it.”  "
    Marianne Williamson  ,787,16579,inspirational,"akeelah,fear,inspirational","      “Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure. It is our light, not our darkness that most frightens us. We ask ourselves, 'Who am I to be brilliant, gorgeous, talented, fabulous?' Actually, who are you not to be? You are a child of God. Your playing small does not serve the world. There is nothing enlightened about shrinking so that other people won't feel insecure around you. We are all meant to shine, as children do. We were born to make manifest the glory of God that is within us. It's not just in some of us; it's in everyone. And as we let our own light shine, we unconsciously give other people permission to do the same. As we are liberated from our own fear, our presence automatically liberates others.”  "
    Lewis Carroll  ,87,16268,inspirational,"alice,humor,inspirational,philosophy-of-life,psychological,yesterday","      “It’s no use going back to yesterday, because I was a different person then.”  "
    Maya Angelou  ,155,14812,inspirational,"1993,advice,complaining,inspirational","      “What you're supposed to do when you don't like a thing is change it. If you can't change it, change the way you think about it. Don't complain.”  "
    Dr. Seuss  ,53,14518,inspirational,inspirational,"      “A person's a person, no matter how small.”  "
    Paulo Coelho  ,89,14473,inspirational,inspirational,      “It's the possibility of having a dream come true that makes life interesting.”  
    Bob Marley  ,711,14253,inspirational,"inspirational,love","      “He’s not perfect. You aren’t either, and the two of you will never be perfect. But if he can make you laugh at least once, causes you to think twice, and if he admits to being human and making mistakes, hold onto him and give him the most you can. He isn’t going to quote poetry, he’s not thinking about you every moment, but he will give you a part of him that he knows you could break. Don’t hurt him, don’t change him, and don’t expect for more than he can give. Don’t analyze. Smile when he makes you happy, yell when he makes you mad, and miss him when he’s not there. Love hard when there is love to be had. Because perfect guys don’t exist, but there’s always one guy that is perfect for you.”  "
    Henri Nouwen  ,524,13635,inspirational,"empathy,friends,friendship,inspirational","      “When we honestly ask ourselves which person in our lives mean the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand. The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing, not curing, not healing and face with us the reality of our powerlessness, that is a friend who cares.”  "
    Nicholas Sparks  ,132,13342,inspirational,"inspirational,the-notebook","      “You can't live your life for other people. You've got to do what's right for you, even if it hurts some people you love.”  "
    Laurel Thatcher Ulrich  ,51,12309,inspirational,"inspirational,misattributed-eleanor-roosevelt,women",      “Well-behaved women seldom make history.”  
